Ord,Begrepp
Sporväxter,"Växter som förökar sig med sporer som sitter som prickar under bladen"
Mossa,"Entyp av sporväxt #1"
Ormbunke,"Entyp av Sporväxt #2"
Fröväxter,"Växter som förökar sig med frön. Delas in i barrväxter och blomväxter"
Barrväxter,"Växter som har blad av barr. T.ex. gran och tall träd"
Kottar,"Finns hankottar och honkottar på barrträden som pollineras av varandra och gör att de förökar sig"
Blomväxter,"Växter som har blommor. Fröna skyddas i en frukt"
Ståndare,"Blommans hanceller, som också kallas för pollen"
Pistill,"Blommans honceller. Det är här fröna bildas efter befruktningen"
Pollen,"Växtens hanceller. Kallas ibland frömjöl"
Pollinering,"Ett system där insekter hjälper växterna genom att flytta över pollen"
Nektar,"Söt vätska i blommor, som används för att locka till sig insekter"
Svampar,"Är varken en växt eller ett djur. Har ett eget rike, Svampriket"
Befruktning,"När två könceller smälter samman och blir en ny inidvid"
Nedbrytare,"Svampar, bakterier och smådjur som lever av döda växter och djur"
Pencillin,"En medicin som är gjord av mögelsvamp. Den kan döda bakterier"
Infekterad,"Smittad med en sjukdom"
